
Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                   7856 Services                   0      7,912 K
svchost.exe                   3348 Services                   0     10,296 K
smartscreen.exe               6940 Console                    1     23,408 K
cmd.exe                       6224 Console                    1      4,808 K
conhost.exe                   3468 Console                    1     21,576 K
SystemSettings.exe            7188 Console                    1     40,672 K
UserOOBEBroker.exe            6868 Console                    1      9,864 K
svchost.exe                   8572 Services                   0      7,544 K
SearchProtocolHost.exe         932 Console                    1      8,304 K
SearchFilterHost.exe          8944 Services                   0      8,768 K
SearchProtocolHost.exe        7164 Services                   0     14,412 K
tasklist.exe                  5696 Console                    1      9,364 K
WmiPrvSE.exe                  7196 Services                   0      9,580 K
