
Image Name                     PID Session Name        Session#    Mem Usage
conhost.exe                   3468 Console                    1     21,460 K
SystemSettings.exe            7188 Console                    1      1,496 K
UserOOBEBroker.exe            6868 Console                    1      8,796 K
powershell.exe                2060 Console                    1  2,032,212 K
conhost.exe                   2376 Console                    1     19,188 K
Taskmgr.exe                   8624 Console                    1     51,060 K
svchost.exe                   8748 Services                   0      7,664 K
svchost.exe                   6428 Services                   0      9,892 K
powershell.exe                8572 Console                    1     60,480 K
conhost.exe                   2512 Console                    1      7,368 K
powershell.exe                7332 Console                    1     60,416 K
conhost.exe                   8668 Console                    1      7,360 K
powershell.exe                 512 Console                    1     60,528 K
conhost.exe                   1880 Console                    1      7,352 K
powershell.exe                1948 Console                    1     60,412 K
conhost.exe                   2444 Console                    1      7,340 K
WmiPrvSE.exe                  3092 Services                   0     12,888 K
SearchProtocolHost.exe        8708 Services                   0      6,836 K
SearchFilterHost.exe          2136 Services                   0      6,924 K
MoUsoCoreWorker.exe           7772 Services                   0     19,012 K
svchost.exe                   3528 Services                   0     18,456 K
sppsvc.exe                    1468 Services                   0     15,276 K
taskhostw.exe                 7504 Console                    1     15,220 K
svchost.exe                   1316 Services                   0      5,472 K
svchost.exe                   6500 Services                   0     26,808 K
smartscreen.exe               4224 Console                    1     22,984 K
tasklist.exe                  6208 Console                    1      9,356 K
