
Image Name                     PID Session Name        Session#    Mem Usage
UserOOBEBroker.exe            6868 Console                    1          N/A
Taskmgr.exe                   8624 Console                    1     34,092 K
taskhostw.exe                 7504 Console                    1     15,804 K
notepad.exe                   6464 Console                    1      2,388 K
WindowsPackageManagerServ     2684 Console                    1     31,612 K
smartscreen.exe               3864 Console                    1     23,216 K
notepad.exe                   1232 Console                    1     20,872 K
notepad.exe                   5932 Console                    1     20,860 K
notepad.exe                   5348 Console                    1     20,860 K
notepad.exe                   1548 Console                    1     20,696 K
notepad.exe                   6828 Console                    1     19,952 K
SearchFilterHost.exe           548 Services                   0      7,496 K
SearchProtocolHost.exe        8156 Console                    1      7,196 K
svchost.exe                   1780 Services                   0     15,920 K
powershell.exe                 332 Console                    1     83,316 K
conhost.exe                   8296 Console                    1     18,492 K
tasklist.exe                  5064 Console                    1      9,076 K
WmiPrvSE.exe                  5076 Services                   0      9,276 K
